candidate loss,validation loss, cme training, cme validation
0.006151146, 0.004832842, 0.008416149, 0.006788595
0.00547095, 0.009481163, 0.0066569317, 0.011116134
0.0052035013, 0.014821134, 0.0065902895, 0.016473856
0.005076163, 0.007769807, 0.0065214825, 0.009483873
0.005892983, 0.008497363, 0.007016605, 0.009665857
0.005544285, 0.0107547315, 0.006848245, 0.0115512535
0.0056497348, 0.010074577, 0.0069215274, 0.013660766
0.0052600545, 0.011263813, 0.0067854635, 0.013077094
0.0072281864, 0.0140061965, 0.008444516, 0.015502024
0.004363418, 0.020983985, 0.0057012667, 0.02276278
0.004004948, 0.00858565, 0.005201688, 0.009444859
0.0070172376, 0.008076976, 0.0084325215, 0.009414671
0.0047818264, 0.01196802, 0.0060415952, 0.013083323
0.005501237, 0.0055116867, 0.007930957, 0.007897981
0.0061447024, 0.011836354, 0.00849027, 0.013431553
0.004913941, 0.0067193615, 0.006259313, 0.008274788
0.0046608592, 0.008473317, 0.0058615636, 0.009656208
0.0042955503, 0.015128202, 0.0054478245, 0.01602063
0.0037776213, 0.01664989, 0.0051386734, 0.017984433
0.0056156586, 0.009934046, 0.0068972427, 0.010870215
0.006420009, 0.013061638, 0.007858004, 0.014528404
0.006027598, 0.012063324, 0.009479111, 0.016472114
0.007764964, 0.0036344938, 0.009052102, 0.004853266
0.00491472, 0.00959793, 0.0068061245, 0.010876013
0.0038139208, 0.013508222, 0.0062693604, 0.014932551
0.0061733504, 0.006963422, 0.0076824226, 0.008937409
0.006553503, 0.009071906, 0.007822552, 0.010300846
0.0041253413, 0.011920989, 0.005663158, 0.013359638
0.0048835506, 0.017627023, 0.006282238, 0.01982854
0.0053765364, 0.009679508, 0.0072802245, 0.011768483
